Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 260295, Episode: 261, Reward: -20.00, Epsilon: 0.775
Step: 261383, Episode: 262, Reward: -19.00, Epsilon: 0.774
Step: 262712, Episode: 263, Reward: -20.00, Epsilon: 0.773
Step: 263794, Episode: 264, Reward: -19.00, Epsilon: 0.772
Step: 264708, Episode: 265, Reward: -21.00, Epsilon: 0.771
Step: 265712, Episode: 266, Reward: -21.00, Epsilon: 0.770
Step: 266693, Episode: 267, Reward: -20.00, Epsilon: 0.769
Step: 267625, Episode: 268, Reward: -20.00, Epsilon: 0.768
Step: 268823, Episode: 269, Reward: -19.00, Epsilon: 0.767
Step: 269746, Episode: 270, Reward: -20.00, Epsilon: 0.766
Step: 270629, Episode: 271, Reward: -21.00, Epsilon: 0.765
Step: 271607, Episode: 272, Reward: -21.00, Epsilon: 0.765
Step: 272469, Episode: 273, Reward: -21.00, Epsilon: 0.764
Step: 273586, Episode: 274, Reward: -19.00, Epsilon: 0.763
Step: 274608, Episode: 275, Reward: -21.00, Epsilon: 0.762
Step: 275699, Episode: 276, Reward: -20.00, Epsilon: 0.761
Step: 276665, Episode: 277, Reward: -20.00, Epsilon: 0.760
Step: 277508, Episode: 278, Reward: -21.00, Epsilon: 0.759
Step: 278378, Episode: 279, Reward: -20.00, Epsilon: 0.758
Step: 279262, Episode: 280, Reward: -21.00, Epsilon: 0.758
Step: 280054, Episode: 281, Reward: -21.00, Epsilon: 0.757
Step: 281100, Episode: 282, Reward: -19.00, Epsilon: 0.756
Step: 281984, Episode: 283, Reward: -21.00, Epsilon: 0.755
Step: 282897, Episode: 284, Reward: -20.00, Epsilon: 0.754
Step: 283908, Episode: 285, Reward: -20.00, Epsilon: 0.753
Step: 285014, Episode: 286, Reward: -18.00, Epsilon: 0.752
Step: 286113, Episode: 287, Reward: -20.00, Epsilon: 0.751
Step: 287286, Episode: 288, Reward: -18.00, Epsilon: 0.750
Step: 288233, Episode: 289, Reward: -20.00, Epsilon: 0.750
Step: 289115, Episode: 290, Reward: -21.00, Epsilon: 0.749
Step: 290020, Episode: 291, Reward: -21.00, Epsilon: 0.748
Step: 290923, Episode: 292, Reward: -21.00, Epsilon: 0.747
Step: 291869, Episode: 293, Reward: -21.00, Epsilon: 0.746
Step: 292851, Episode: 294, Reward: -19.00, Epsilon: 0.745
Step: 293717, Episode: 295, Reward: -20.00, Epsilon: 0.745
Step: 294857, Episode: 296, Reward: -21.00, Epsilon: 0.744
Step: 295650, Episode: 297, Reward: -21.00, Epsilon: 0.743
Step: 296535, Episode: 298, Reward: -21.00, Epsilon: 0.742
Step: 297406, Episode: 299, Reward: -20.00, Epsilon: 0.741
Step: 298260, Episode: 300, Reward: -21.00, Epsilon: 0.741
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 300, Step 298260) ---
Avg Reward over 20 episodes: -19.75 (Duration: 19.54s)
--------------------------------------------------
Step: 299231, Episode: 301, Reward: -21.00, Epsilon: 0.740
Step: 300173, Episode: 302, Reward: -21.00, Epsilon: 0.739
Step: 301056, Episode: 303, Reward: -21.00, Epsilon: 0.738
Step: 302037, Episode: 304, Reward: -20.00, Epsilon: 0.737
Step: 302940, Episode: 305, Reward: -21.00, Epsilon: 0.736
Step: 303868, Episode: 306, Reward: -20.00, Epsilon: 0.736
Step: 305103, Episode: 307, Reward: -20.00, Epsilon: 0.734
Step: 306008, Episode: 308, Reward: -20.00, Epsilon: 0.734
Step: 307043, Episode: 309, Reward: -21.00, Epsilon: 0.733
Step: 307881, Episode: 310, Reward: -21.00, Epsilon: 0.732
Step: 308786, Episode: 311, Reward: -21.00, Epsilon: 0.731
Step: 309850, Episode: 312, Reward: -18.00, Epsilon: 0.730
Step: 310749, Episode: 313, Reward: -20.00, Epsilon: 0.729
Step: 311713, Episode: 314, Reward: -21.00, Epsilon: 0.728
Step: 312870, Episode: 315, Reward: -21.00, Epsilon: 0.727
Step: 313810, Episode: 316, Reward: -21.00, Epsilon: 0.727
Step: 314790, Episode: 317, Reward: -21.00, Epsilon: 0.726
