Using device: cuda
[Ep 325] R=18.0  Steps=685056  ε=0.0100
[Ep 326] R=16.0  Steps=687621  ε=0.0100
[Ep 327] R=17.0  Steps=689608  ε=0.0100
[Train 640000] loss=0.0033
[Ep 328] R=13.0  Steps=692160  ε=0.0100
[Ep 329] R=20.0  Steps=694761  ε=0.0100
[Ep 330] R= 9.0  Steps=697907  ε=0.0100
[Train 650000] loss=0.0052
[Ep 331] R=12.0  Steps=700896  ε=0.0100
[Ep 332] R=16.0  Steps=703342  ε=0.0100
[Ep 333] R=13.0  Steps=706183  ε=0.0100
[Ep 334] R=15.0  Steps=708855  ε=0.0100
[Train 660000] loss=0.0013
[Ep 335] R= 6.0  Steps=712115  ε=0.0100
[Ep 336] R=17.0  Steps=714207  ε=0.0100
[Ep 337] R=15.0  Steps=716613  ε=0.0100
[Ep 338] R=16.0  Steps=718864  ε=0.0100
[Train 670000] loss=0.0058
[Ep 339] R=15.0  Steps=721293  ε=0.0100
*** (avg_R=15.40) ***
*** New best model saved: LAB5_B11017015_task3_pong_721293.pt ***
[Ep 340] R=20.0  Steps=723053  ε=0.0100
[Ep 341] R=17.0  Steps=725247  ε=0.0100
[Ep 342] R=17.0  Steps=728258  ε=0.0100
[Train 680000] loss=0.0021
[Ep 343] R=16.0  Steps=730532  ε=0.0100
[Ep 344] R=15.0  Steps=733010  ε=0.0100
[Ep 345] R=16.0  Steps=735267  ε=0.0100
[Ep 346] R=15.0  Steps=737717  ε=0.0100
[Train 690000] loss=0.0010
[Ep 347] R=11.0  Steps=740328  ε=0.0100
[Ep 348] R=18.0  Steps=742623  ε=0.0100
[Ep 349] R=11.0  Steps=745608  ε=0.0100
[Ep 350] R=16.0  Steps=747887  ε=0.0100
[Train 700000] loss=0.0010
[Ep 351] R=14.0  Steps=750717  ε=0.0100
[Ep 352] R=12.0  Steps=753519  ε=0.0100
[Ep 353] R=13.0  Steps=756002  ε=0.0100
[Ep 354] R=11.0  Steps=758921  ε=0.0100
[Train 710000] loss=0.0009
[Ep 355] R=17.0  Steps=761150  ε=0.0100
[Ep 356] R=15.0  Steps=764114  ε=0.0100
[Ep 357] R=11.0  Steps=767094  ε=0.0100
[Ep 358] R=16.0  Steps=769595  ε=0.0100
[Train 720000] loss=0.0008
[Ep 359] R=16.0  Steps=771814  ε=0.0100
*** (avg_R=16.25) ***
*** New best model saved: LAB5_B11017015_task3_pong_771814.pt ***
[Ep 360] R=12.0  Steps=774725  ε=0.0100
[Ep 361] R=18.0  Steps=777044  ε=0.0100
[Ep 362] R=16.0  Steps=779333  ε=0.0100
[Train 730000] loss=0.0007
[Ep 363] R=15.0  Steps=782122  ε=0.0100
[Ep 364] R=18.0  Steps=784167  ε=0.0100
[Ep 365] R=14.0  Steps=786776  ε=0.0100
[Ep 366] R=15.0  Steps=789271  ε=0.0100
[Train 740000] loss=0.0014
[Ep 367] R=13.0  Steps=791747  ε=0.0100
[Ep 368] R=15.0  Steps=794855  ε=0.0100
[Ep 369] R=14.0  Steps=797532  ε=0.0100
[Train 750000] loss=0.0081
[Ep 370] R=14.0  Steps=800240  ε=0.0100
*** model saved: LAB5_B11017015_task3_pong800000.pt ***
[Ep 371] R=15.0  Steps=802577  ε=0.0100
[Ep 372] R=16.0  Steps=804968  ε=0.0100
[Ep 373] R=17.0  Steps=807163  ε=0.0100
[Train 760000] loss=0.0032
[Ep 374] R=12.0  Steps=810184  ε=0.0100
[Ep 375] R=18.0  Steps=812225  ε=0.0100
[Ep 376] R=17.0  Steps=814546  ε=0.0100
[Ep 377] R=17.0  Steps=816661  ε=0.0100
[Ep 378] R=14.0  Steps=818928  ε=0.0100
[Train 770000] loss=0.0013
[Ep 379] R=15.0  Steps=821542  ε=0.0100
*** (avg_R=14.65) ***
[Ep 380] R=18.0  Steps=823765  ε=0.0100
[Ep 381] R=16.0  Steps=826287  ε=0.0100
[Ep 382] R= 6.0  Steps=829892  ε=0.0100
[Train 780000] loss=0.0015
[Ep 383] R=15.0  Steps=832449  ε=0.0100
[Ep 384] R=18.0  Steps=834974  ε=0.0100
[Ep 385] R=16.0  Steps=837264  ε=0.0100
[Ep 386] R=12.0  Steps=839873  ε=0.0100
[Train 790000] loss=0.0013
[Ep 387] R=16.0  Steps=842151  ε=0.0100
[Ep 388] R=12.0  Steps=844945  ε=0.0100
[Ep 389] R=17.0  Steps=847303  ε=0.0100
[Ep 390] R=18.0  Steps=849359  ε=0.0100
[Train 800000] loss=0.0016
[Ep 391] R=13.0  Steps=851889  ε=0.0100
[Ep 392] R=13.0  Steps=854247  ε=0.0100
[Ep 393] R=16.0  Steps=856596  ε=0.0100
[Ep 394] R=16.0  Steps=858865  ε=0.0100
[Train 810000] loss=0.0016
[Ep 395] R=15.0  Steps=861506  ε=0.0100
[Ep 396] R=12.0  Steps=864282  ε=0.0100
[Ep 397] R=15.0  Steps=867005  ε=0.0100
[Ep 398] R=13.0  Steps=869821  ε=0.0100
[Train 820000] loss=0.0002
[Ep 399] R=15.0  Steps=872149  ε=0.0100
*** (avg_R=14.35) ***
[Ep 400] R=18.0  Steps=874181  ε=0.0100
[Ep 401] R=20.0  Steps=875930  ε=0.0100
[Ep 402] R=14.0  Steps=878701  ε=0.0100
[Train 830000] loss=0.0004
[Ep 403] R=14.0  Steps=881663  ε=0.0100
[Ep 404] R=18.0  Steps=883928  ε=0.0100
[Ep 405] R=12.0  Steps=887089  ε=0.0100
[Ep 406] R=18.0  Steps=889191  ε=0.0100
[Train 840000] loss=0.0059
[Ep 407] R=15.0  Steps=891603  ε=0.0100
[Ep 408] R=15.0  Steps=893923  ε=0.0100
[Ep 409] R=17.0  Steps=896399  ε=0.0100
[Ep 410] R=17.0  Steps=898746  ε=0.0100
[Train 850000] loss=0.0018
[Ep 411] R=14.0  Steps=901072  ε=0.0100
