Using device: cuda
[Ep 299] R= 3.0  Steps=630436  ε=0.0500
*** (avg_R=14.75) ***
*** New best model saved: LAB5_B11017015_task3_pong_630436.pt ***
[Ep 300] R= 7.0  Steps=633337  ε=0.0500
[Ep 301] R=14.0  Steps=635622  ε=0.0500
[Ep 302] R=12.0  Steps=638313  ε=0.0500
[Train 590000] loss=0.0010
[Ep 303] R=-1.0  Steps=641665  ε=0.0500
[Ep 304] R= 4.0  Steps=644639  ε=0.0500
[Ep 305] R= 8.0  Steps=647743  ε=0.0500
[Train 600000] loss=0.0058
[Ep 306] R=-5.0  Steps=650842  ε=0.0500
[Ep 307] R= 3.0  Steps=654454  ε=0.0500
[Ep 308] R= 6.0  Steps=658001  ε=0.0500
[Train 610000] loss=0.0048
[Ep 309] R= 9.0  Steps=660906  ε=0.0500
[Ep 310] R=14.0  Steps=663208  ε=0.0500
[Ep 311] R= 3.0  Steps=666414  ε=0.0500
[Ep 312] R=17.0  Steps=668386  ε=0.0500
[Train 620000] loss=0.0047
[Ep 313] R=12.0  Steps=670857  ε=0.0500
[Ep 314] R= 8.0  Steps=673885  ε=0.0500
[Ep 315] R=11.0  Steps=676262  ε=0.0500
[Ep 316] R=15.0  Steps=678438  ε=0.0500
[Train 630000] loss=0.0127
[Ep 317] R=13.0  Steps=680739  ε=0.0500
[Ep 318] R= 8.0  Steps=683445  ε=0.0500
[Ep 319] R= 9.0  Steps=686090  ε=0.0500
*** (avg_R=13.50) ***
[Ep 320] R= 7.0  Steps=688992  ε=0.0500
[Train 640000] loss=0.0073
[Ep 321] R= 8.0  Steps=692015  ε=0.0500
[Ep 322] R= 4.0  Steps=695316  ε=0.0500
[Ep 323] R= 4.0  Steps=698513  ε=0.0500
[Train 650000] loss=0.0099
[Ep 324] R= 7.0  Steps=701668  ε=0.0500
[Ep 325] R=12.0  Steps=704316  ε=0.0500
[Ep 326] R=-4.0  Steps=707448  ε=0.0500
[Train 660000] loss=0.0073
[Ep 327] R= 6.0  Steps=710515  ε=0.0500
[Ep 328] R=17.0  Steps=712588  ε=0.0500
[Ep 329] R= 5.0  Steps=715675  ε=0.0500
[Ep 330] R= 9.0  Steps=718229  ε=0.0500
[Train 670000] loss=0.0026
[Ep 331] R=12.0  Steps=721119  ε=0.0500
[Ep 332] R= 9.0  Steps=723793  ε=0.0500
[Ep 333] R=14.0  Steps=726313  ε=0.0500
[Ep 334] R=15.0  Steps=728504  ε=0.0500
[Train 680000] loss=0.0031
[Ep 335] R= 4.0  Steps=732069  ε=0.0500
[Ep 336] R=14.0  Steps=734363  ε=0.0500
[Ep 337] R=11.0  Steps=736853  ε=0.0500
[Train 690000] loss=0.0028
[Ep 338] R= 4.0  Steps=740005  ε=0.0500
[Ep 339] R= 7.0  Steps=743185  ε=0.0500
*** (avg_R=15.30) ***
*** New best model saved: LAB5_B11017015_task3_pong_743185.pt ***
[Ep 340] R=13.0  Steps=745769  ε=0.0500
[Ep 341] R= 7.0  Steps=748792  ε=0.0500
[Train 700000] loss=0.0052
[Ep 342] R= 8.0  Steps=751818  ε=0.0500
[Ep 343] R=12.0  Steps=754479  ε=0.0500
[Ep 344] R= 2.0  Steps=758065  ε=0.0500
[Train 710000] loss=0.0039
[Ep 345] R=13.0  Steps=760616  ε=0.0500
[Ep 346] R=16.0  Steps=762758  ε=0.0500
[Ep 347] R= 5.0  Steps=765633  ε=0.0500
[Ep 348] R=16.0  Steps=767836  ε=0.0500
[Train 720000] loss=0.0020
[Ep 349] R= 8.0  Steps=770460  ε=0.0500
[Ep 350] R= 7.0  Steps=773568  ε=0.0500
[Ep 351] R=13.0  Steps=776045  ε=0.0500
[Ep 352] R= 5.0  Steps=779399  ε=0.0500
[Train 730000] loss=0.0065
[Ep 353] R=-1.0  Steps=782546  ε=0.0500
[Ep 354] R=13.0  Steps=784940  ε=0.0500
[Ep 355] R= 9.0  Steps=787699  ε=0.0500
[Train 740000] loss=0.0080
[Ep 356] R= 6.0  Steps=790740  ε=0.0500
[Ep 357] R=11.0  Steps=793272  ε=0.0500
[Ep 358] R= 8.0  Steps=796071  ε=0.0500
[Ep 359] R= 7.0  Steps=799180  ε=0.0500
*** (avg_R=13.80) ***
[Train 750000] loss=0.0055
[Ep 360] R= 9.0  Steps=802013  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong800000.pt ***
[Ep 361] R=13.0  Steps=804364  ε=0.0500
[Ep 362] R= 4.0  Steps=807470  ε=0.0500
[Train 760000] loss=0.0062
[Ep 363] R= 6.0  Steps=810277  ε=0.0500
[Ep 364] R= 6.0  Steps=813625  ε=0.0500
[Ep 365] R=11.0  Steps=815972  ε=0.0500
[Ep 366] R= 1.0  Steps=819332  ε=0.0500
[Train 770000] loss=0.0017
[Ep 367] R= 3.0  Steps=822812  ε=0.0500
[Ep 368] R=-1.0  Steps=826148  ε=0.0500
[Ep 369] R=10.0  Steps=828998  ε=0.0500
[Train 780000] loss=0.0053
[Ep 370] R= 7.0  Steps=831814  ε=0.0500
[Ep 371] R= 2.0  Steps=835265  ε=0.0500
[Ep 372] R= 8.0  Steps=837956  ε=0.0500
[Train 790000] loss=0.0052
[Ep 373] R=15.0  Steps=840370  ε=0.0500
[Ep 374] R=16.0  Steps=842528  ε=0.0500
[Ep 375] R=10.0  Steps=845114  ε=0.0500
[Ep 376] R= 7.0  Steps=848056  ε=0.0500
[Train 800000] loss=0.0046
[Ep 377] R=13.0  Steps=850648  ε=0.0500
[Ep 378] R=10.0  Steps=853314  ε=0.0500
[Ep 379] R=-2.0  Steps=856649  ε=0.0500
*** (avg_R=12.95) ***
[Ep 380] R= 4.0  Steps=859826  ε=0.0500
[Train 810000] loss=0.0049
[Ep 381] R=12.0  Steps=862420  ε=0.0500
[Ep 382] R=13.0  Steps=864778  ε=0.0500
[Ep 383] R= 5.0  Steps=868186  ε=0.0500
[Train 820000] loss=0.0041
[Ep 384] R=14.0  Steps=870326  ε=0.0500
[Ep 385] R= 5.0  Steps=873584  ε=0.0500
[Ep 386] R=14.0  Steps=875824  ε=0.0500
[Ep 387] R= 6.0  Steps=878988  ε=0.0500
[Train 830000] loss=0.0089
[Ep 388] R= 2.0  Steps=882672  ε=0.0500
[Ep 389] R=11.0  Steps=885359  ε=0.0500
[Ep 390] R= 8.0  Steps=888266  ε=0.0500
[Train 840000] loss=0.0056
[Ep 391] R= 2.0  Steps=891499  ε=0.0500
[Ep 392] R=17.0  Steps=893497  ε=0.0500
[Ep 393] R=16.0  Steps=895696  ε=0.0500
[Ep 394] R= 6.0  Steps=898845  ε=0.0500
[Train 850000] loss=0.0030
[Ep 395] R=11.0  Steps=901755  ε=0.0500
[Ep 396] R= 2.0  Steps=904849  ε=0.0500
[Ep 397] R= 9.0  Steps=907470  ε=0.0500
[Ep 398] R=13.0  Steps=909707  ε=0.0500
[Train 860000] loss=0.0034
[Ep 399] R= 6.0  Steps=912426  ε=0.0500
*** (avg_R=13.15) ***
[Ep 400] R=13.0  Steps=914750  ε=0.0500
[Ep 401] R=-6.0  Steps=917857  ε=0.0500
[Train 870000] loss=0.0098
[Ep 402] R=11.0  Steps=920397  ε=0.0500
[Ep 403] R= 6.0  Steps=923566  ε=0.0500
[Ep 404] R= 6.0  Steps=926301  ε=0.0500
[Ep 405] R=10.0  Steps=929054  ε=0.0500
[Train 880000] loss=0.0102
[Ep 406] R= 3.0  Steps=932063  ε=0.0500
[Ep 407] R=11.0  Steps=934623  ε=0.0500
[Ep 408] R=17.0  Steps=936883  ε=0.0500
[Ep 409] R=15.0  Steps=939401  ε=0.0500
[Train 890000] loss=0.0044
