Using device: cuda
[Ep 263] R=-2.0  Steps=448600  ε=0.0500
[Train 400000] loss=0.0047
[Ep 264] R=-1.0  Steps=452500  ε=0.0500
[Ep 265] R=-8.0  Steps=455730  ε=0.0500
[Ep 266] R=-4.0  Steps=459290  ε=0.0500
[Train 410000] loss=0.0005
[Ep 267] R= 2.0  Steps=462671  ε=0.0500
[Ep 268] R= 7.0  Steps=465948  ε=0.0500
[Ep 269] R=-3.0  Steps=469348  ε=0.0500
[Train 420000] loss=0.0029
[Ep 270] R=-5.0  Steps=472527  ε=0.0500
[Ep 271] R= 8.0  Steps=475319  ε=0.0500
[Ep 272] R= 2.0  Steps=479119  ε=0.0500
[Train 430000] loss=0.0023
[Ep 273] R= 7.0  Steps=482398  ε=0.0500
[Ep 274] R= 3.0  Steps=485905  ε=0.0500
[Ep 275] R= 2.0  Steps=489589  ε=0.0500
[Train 440000] loss=0.0066
[Ep 276] R=-2.0  Steps=493128  ε=0.0500
[Ep 277] R=-2.0  Steps=496599  ε=0.0500
[Train 450000] loss=0.0027
[Ep 278] R=-4.0  Steps=500401  ε=0.0500
[Ep 279] R= 4.0  Steps=503585  ε=0.0500
*** (avg_R=5.40) ***
*** New best model saved: LAB5_B11017015_task3_pong_503585.pt ***
[Ep 280] R= 3.0  Steps=506911  ε=0.0500
[Train 460000] loss=0.0011
[Ep 281] R= 2.0  Steps=510678  ε=0.0500
[Ep 282] R=-8.0  Steps=514146  ε=0.0500
[Ep 283] R= 6.0  Steps=517389  ε=0.0500
[Train 470000] loss=0.0056
[Ep 284] R=-1.0  Steps=521179  ε=0.0500
[Ep 285] R= 1.0  Steps=524755  ε=0.0500
[Ep 286] R= 7.0  Steps=527817  ε=0.0500
[Train 480000] loss=0.0038
[Ep 287] R= 2.0  Steps=531505  ε=0.0500
[Ep 288] R= 3.0  Steps=535386  ε=0.0500
[Ep 289] R= 5.0  Steps=538766  ε=0.0500
[Train 490000] loss=0.0005
[Ep 290] R=-3.0  Steps=542420  ε=0.0500
[Ep 291] R= 2.0  Steps=545715  ε=0.0500
[Ep 292] R= 2.0  Steps=549298  ε=0.0500
[Train 500000] loss=0.0040
[Ep 293] R= 1.0  Steps=553062  ε=0.0500
[Ep 294] R= 1.0  Steps=556968  ε=0.0500
[Train 510000] loss=0.0034
[Ep 295] R=-1.0  Steps=561205  ε=0.0500
[Ep 296] R= 9.0  Steps=564073  ε=0.0500
[Ep 297] R= 3.0  Steps=567877  ε=0.0500
[Train 520000] loss=0.0018
[Ep 298] R= 4.0  Steps=571707  ε=0.0500
[Ep 299] R= 1.0  Steps=575663  ε=0.0500
*** (avg_R=8.45) ***
*** New best model saved: LAB5_B11017015_task3_pong_575663.pt ***
[Ep 300] R=-1.0  Steps=579326  ε=0.0500
[Train 530000] loss=0.0030
[Ep 301] R= 4.0  Steps=583266  ε=0.0500
[Ep 302] R= 5.0  Steps=586675  ε=0.0500
[Train 540000] loss=0.0030
[Ep 303] R= 2.0  Steps=590613  ε=0.0500
[Ep 304] R= 2.0  Steps=594207  ε=0.0500
[Ep 305] R= 9.0  Steps=597077  ε=0.0500
[Train 550000] loss=0.0048
[Ep 306] R= 7.0  Steps=600322  ε=0.0500
*** model saved: LAB5_B11017015_task3_pong600000.pt ***
[Ep 307] R= 6.0  Steps=603577  ε=0.0500
[Ep 308] R= 5.0  Steps=606835  ε=0.0500
[Train 560000] loss=0.0069
[Ep 309] R= 4.0  Steps=610024  ε=0.0500
[Ep 310] R=-1.0  Steps=613659  ε=0.0500
[Ep 311] R= 2.0  Steps=617133  ε=0.0500
[Train 570000] loss=0.0080
[Ep 312] R= 8.0  Steps=620479  ε=0.0500
[Ep 313] R= 9.0  Steps=623274  ε=0.0500
[Ep 314] R= 9.0  Steps=625981  ε=0.0500
[Ep 315] R= 8.0  Steps=629022  ε=0.0500
[Train 580000] loss=0.0036
[Ep 316] R= 6.0  Steps=632119  ε=0.0500
[Ep 317] R= 4.0  Steps=635025  ε=0.0500
[Ep 318] R=17.0  Steps=637210  ε=0.0500
[Train 590000] loss=0.0018
[Ep 319] R= 8.0  Steps=640276  ε=0.0500
*** (avg_R=12.35) ***
*** New best model saved: LAB5_B11017015_task3_pong_640276.pt ***
[Ep 320] R= 9.0  Steps=642936  ε=0.0500
[Ep 321] R=10.0  Steps=645682  ε=0.0500
[Ep 322] R=11.0  Steps=648388  ε=0.0500
[Train 600000] loss=0.0028
[Ep 323] R= 9.0  Steps=651670  ε=0.0500
[Ep 324] R=12.0  Steps=654314  ε=0.0500
[Ep 325] R= 9.0  Steps=657276  ε=0.0500
[Train 610000] loss=0.0030
[Ep 326] R= 9.0  Steps=660209  ε=0.0500
[Ep 327] R= 6.0  Steps=663393  ε=0.0500
[Ep 328] R=11.0  Steps=665896  ε=0.0500
[Ep 329] R= 8.0  Steps=668747  ε=0.0500
[Train 620000] loss=0.0026
[Ep 330] R=17.0  Steps=671075  ε=0.0500
[Ep 331] R=14.0  Steps=673585  ε=0.0500
[Ep 332] R=10.0  Steps=676413  ε=0.0500
[Ep 333] R=11.0  Steps=679207  ε=0.0500
[Train 630000] loss=0.0014
[Ep 334] R= 6.0  Steps=682517  ε=0.0500
[Ep 335] R= 6.0  Steps=686149  ε=0.0500
[Ep 336] R=15.0  Steps=688334  ε=0.0500
[Train 640000] loss=0.0024
[Ep 337] R=13.0  Steps=690958  ε=0.0500
[Ep 338] R= 8.0  Steps=694335  ε=0.0500
[Ep 339] R=15.0  Steps=696641  ε=0.0500
*** (avg_R=14.10) ***
*** New best model saved: LAB5_B11017015_task3_pong_696641.pt ***
[Ep 340] R=13.0  Steps=699010  ε=0.0500
[Train 650000] loss=0.0017
[Ep 341] R= 6.0  Steps=702643  ε=0.0500
[Ep 342] R=12.0  Steps=705262  ε=0.0500
[Ep 343] R=14.0  Steps=707799  ε=0.0500
[Train 660000] loss=0.0041
[Ep 344] R=13.0  Steps=710358  ε=0.0500
[Ep 345] R= 9.0  Steps=713406  ε=0.0500
[Ep 346] R= 9.0  Steps=716337  ε=0.0500
[Ep 347] R=10.0  Steps=718852  ε=0.0500
[Train 670000] loss=0.0023
[Ep 348] R= 9.0  Steps=721721  ε=0.0500
[Ep 349] R=14.0  Steps=724160  ε=0.0500
[Ep 350] R=19.0  Steps=726098  ε=0.0500
[Ep 351] R=10.0  Steps=728867  ε=0.0500
[Train 680000] loss=0.0036
[Ep 352] R=11.0  Steps=731678  ε=0.0500
[Ep 353] R=15.0  Steps=733866  ε=0.0500
