Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 278316, Episode: 271, Reward: -18.00, Epsilon: 0.759
Step: 279475, Episode: 272, Reward: -19.00, Epsilon: 0.757
Step: 280915, Episode: 273, Reward: -16.00, Epsilon: 0.756
Step: 282271, Episode: 274, Reward: -20.00, Epsilon: 0.755
Step: 283540, Episode: 275, Reward: -19.00, Epsilon: 0.754
Step: 284820, Episode: 276, Reward: -19.00, Epsilon: 0.753
Step: 286105, Episode: 277, Reward: -18.00, Epsilon: 0.752
Step: 287286, Episode: 278, Reward: -20.00, Epsilon: 0.750
Step: 288563, Episode: 279, Reward: -21.00, Epsilon: 0.749
Step: 289406, Episode: 280, Reward: -21.00, Epsilon: 0.749
Step: 290279, Episode: 281, Reward: -21.00, Epsilon: 0.748
Step: 291159, Episode: 282, Reward: -21.00, Epsilon: 0.747
Step: 292315, Episode: 283, Reward: -21.00, Epsilon: 0.746
Step: 293508, Episode: 284, Reward: -19.00, Epsilon: 0.745
Step: 294749, Episode: 285, Reward: -17.00, Epsilon: 0.744
Step: 295866, Episode: 286, Reward: -20.00, Epsilon: 0.743
Step: 297034, Episode: 287, Reward: -19.00, Epsilon: 0.742
Step: 298234, Episode: 288, Reward: -20.00, Epsilon: 0.741
Step: 299501, Episode: 289, Reward: -17.00, Epsilon: 0.739
Step: 300481, Episode: 290, Reward: -20.00, Epsilon: 0.739
Step: 301820, Episode: 291, Reward: -18.00, Epsilon: 0.737
Step: 302741, Episode: 292, Reward: -20.00, Epsilon: 0.737
Step: 304044, Episode: 293, Reward: -19.00, Epsilon: 0.735
Step: 305110, Episode: 294, Reward: -21.00, Epsilon: 0.734
Step: 306116, Episode: 295, Reward: -20.00, Epsilon: 0.733
Step: 307636, Episode: 296, Reward: -17.00, Epsilon: 0.732
Step: 309056, Episode: 297, Reward: -18.00, Epsilon: 0.731
Step: 310745, Episode: 298, Reward: -17.00, Epsilon: 0.729
Step: 311909, Episode: 299, Reward: -19.00, Epsilon: 0.728
Step: 313060, Episode: 300, Reward: -19.00, Epsilon: 0.727
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 300, Step 313060) ---
Avg Reward over 20 episodes: -12.30 (Duration: 45.70s)
--------------------------------------------------
*** New best model saved: ./results_task2\dqn_pong_vanilla_best.pt ***
Step: 314329, Episode: 301, Reward: -20.00, Epsilon: 0.726
Step: 315781, Episode: 302, Reward: -18.00, Epsilon: 0.725
Step: 316801, Episode: 303, Reward: -20.00, Epsilon: 0.724
Step: 318149, Episode: 304, Reward: -18.00, Epsilon: 0.723
Step: 319440, Episode: 305, Reward: -19.00, Epsilon: 0.722
Step: 320526, Episode: 306, Reward: -19.00, Epsilon: 0.721
Step: 321891, Episode: 307, Reward: -17.00, Epsilon: 0.719
Step: 323193, Episode: 308, Reward: -18.00, Epsilon: 0.718
Step: 324483, Episode: 309, Reward: -20.00, Epsilon: 0.717
Step: 325476, Episode: 310, Reward: -19.00, Epsilon: 0.716
Step: 326543, Episode: 311, Reward: -20.00, Epsilon: 0.715
Step: 327657, Episode: 312, Reward: -20.00, Epsilon: 0.714
Step: 329050, Episode: 313, Reward: -18.00, Epsilon: 0.713
Step: 330321, Episode: 314, Reward: -17.00, Epsilon: 0.712
Step: 331359, Episode: 315, Reward: -20.00, Epsilon: 0.711
Step: 332564, Episode: 316, Reward: -18.00, Epsilon: 0.710
Step: 333540, Episode: 317, Reward: -19.00, Epsilon: 0.709
Step: 334691, Episode: 318, Reward: -19.00, Epsilon: 0.708
Step: 335895, Episode: 319, Reward: -21.00, Epsilon: 0.707
Step: 337154, Episode: 320, Reward: -19.00, Epsilon: 0.706
Step: 338478, Episode: 321, Reward: -18.00, Epsilon: 0.704
Step: 339857, Episode: 322, Reward: -19.00, Epsilon: 0.703
Step: 341065, Episode: 323, Reward: -18.00, Epsilon: 0.702
Step: 342392, Episode: 324, Reward: -16.00, Epsilon: 0.701
Step: 343739, Episode: 325, Reward: -17.00, Epsilon: 0.700
Step: 344999, Episode: 326, Reward: -20.00, Epsilon: 0.699
Step: 346145, Episode: 327, Reward: -17.00, Epsilon: 0.697
Step: 347049, Episode: 328, Reward: -21.00, Epsilon: 0.697
Step: 348119, Episode: 329, Reward: -20.00, Epsilon: 0.696
Step: 349050, Episode: 330, Reward: -20.00, Epsilon: 0.695
Step: 350450, Episode: 331, Reward: -19.00, Epsilon: 0.694
Step: 351409, Episode: 332, Reward: -21.00, Epsilon: 0.693
Step: 352560, Episode: 333, Reward: -18.00, Epsilon: 0.692
Step: 354361, Episode: 334, Reward: -16.00, Epsilon: 0.690
Step: 355794, Episode: 335, Reward: -18.00, Epsilon: 0.689
Step: 357206, Episode: 336, Reward: -16.00, Epsilon: 0.688
Step: 358492, Episode: 337, Reward: -19.00, Epsilon: 0.686
Step: 359629, Episode: 338, Reward: -21.00, Epsilon: 0.685
Step: 360788, Episode: 339, Reward: -18.00, Epsilon: 0.684
Step: 362260, Episode: 340, Reward: -18.00, Epsilon: 0.683
Step: 363415, Episode: 341, Reward: -18.00, Epsilon: 0.682
Step: 364838, Episode: 342, Reward: -19.00, Epsilon: 0.681
Step: 365808, Episode: 343, Reward: -21.00, Epsilon: 0.680
Step: 367107, Episode: 344, Reward: -18.00, Epsilon: 0.679
Step: 368576, Episode: 345, Reward: -18.00, Epsilon: 0.677
Step: 370040, Episode: 346, Reward: -18.00, Epsilon: 0.676
Step: 371193, Episode: 347, Reward: -19.00, Epsilon: 0.675
Step: 372627, Episode: 348, Reward: -18.00, Epsilon: 0.674
Step: 373989, Episode: 349, Reward: -19.00, Epsilon: 0.672
Step: 375248, Episode: 350, Reward: -18.00, Epsilon: 0.671
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 350, Step 375248) ---
Avg Reward over 20 episodes: -11.60 (Duration: 52.48s)
--------------------------------------------------
*** New best model saved: ./results_task2\dqn_pong_vanilla_best.pt ***
Step: 376804, Episode: 351, Reward: -17.00, Epsilon: 0.670
Step: 377997, Episode: 352, Reward: -18.00, Epsilon: 0.669
Step: 379878, Episode: 353, Reward: -12.00, Epsilon: 0.667
Step: 381184, Episode: 354, Reward: -20.00, Epsilon: 0.666
Step: 382613, Episode: 355, Reward: -17.00, Epsilon: 0.665
Step: 383941, Episode: 356, Reward: -18.00, Epsilon: 0.663
Step: 385229, Episode: 357, Reward: -18.00, Epsilon: 0.662
Step: 386589, Episode: 358, Reward: -20.00, Epsilon: 0.661
Step: 387906, Episode: 359, Reward: -18.00, Epsilon: 0.660
Step: 389074, Episode: 360, Reward: -18.00, Epsilon: 0.659
Step: 390624, Episode: 361, Reward: -19.00, Epsilon: 0.657
Step: 391994, Episode: 362, Reward: -18.00, Epsilon: 0.656
Step: 393117, Episode: 363, Reward: -20.00, Epsilon: 0.655
Step: 394754, Episode: 364, Reward: -18.00, Epsilon: 0.654
Step: 396265, Episode: 365, Reward: -19.00, Epsilon: 0.652
Step: 397592, Episode: 366, Reward: -18.00, Epsilon: 0.651
Step: 398797, Episode: 367, Reward: -21.00, Epsilon: 0.650
Step: 400251, Episode: 368, Reward: -19.00, Epsilon: 0.649
Step: 401459, Episode: 369, Reward: -20.00, Epsilon: 0.648
Step: 402466, Episode: 370, Reward: -20.00, Epsilon: 0.647
Step: 403704, Episode: 371, Reward: -19.00, Epsilon: 0.646
Step: 405205, Episode: 372, Reward: -18.00, Epsilon: 0.644
Step: 406486, Episode: 373, Reward: -19.00, Epsilon: 0.643
Step: 407645, Episode: 374, Reward: -18.00, Epsilon: 0.642
Step: 408961, Episode: 375, Reward: -18.00, Epsilon: 0.641
