Using device: cuda
[Ep 207] R=-16.0  Steps=276729  ε=0.2507
[Train 230000] loss=0.0020
[Ep 208] R=-11.0  Steps=280501  ε=0.2460
[Ep 209] R=-13.0  Steps=284343  ε=0.2413
[Ep 210] R=-14.0  Steps=287978  ε=0.2370
[Train 240000] loss=0.0093
[Ep 211] R=-11.0  Steps=290605  ε=0.2339
[Ep 212] R=-13.0  Steps=294174  ε=0.2297
[Ep 213] R=-16.0  Steps=297664  ε=0.2258
[Train 250000] loss=0.0024
[Ep 214] R=-16.0  Steps=300847  ε=0.2222
[Ep 215] R=-16.0  Steps=303965  ε=0.2187
[Ep 216] R=-9.0  Steps=307064  ε=0.2154
[Ep 217] R=-18.0  Steps=309932  ε=0.2123
[Train 260000] loss=0.0124
[Ep 218] R=-14.0  Steps=313207  ε=0.2089
[Ep 219] R=-8.0  Steps=316564  ε=0.2054
*** (avg_R=-9.75) ***
*** New best model saved: LAB5_B11017015_task3_pong_316564.pt ***
[Ep 220] R=-14.0  Steps=319870  ε=0.2020
[Train 270000] loss=0.0075
[Ep 221] R=-16.0  Steps=322562  ε=0.1993
[Ep 222] R=-6.0  Steps=326653  ε=0.1953
[Ep 223] R=-14.0  Steps=329493  ε=0.1925
[Train 280000] loss=0.0031
[Ep 224] R=-16.0  Steps=332047  ε=0.1901
[Ep 225] R=-12.0  Steps=335387  ε=0.1869
[Ep 226] R=-15.0  Steps=337974  ε=0.1845
[Train 290000] loss=0.0039
[Ep 227] R=-17.0  Steps=340690  ε=0.1821
[Ep 228] R=-11.0  Steps=343503  ε=0.1795
[Ep 229] R=-16.0  Steps=346721  ε=0.1766
[Train 300000] loss=0.0018
[Ep 230] R=-12.0  Steps=350216  ε=0.1736
[Ep 231] R=-9.0  Steps=354367  ε=0.1700
[Ep 232] R=-16.0  Steps=357054  ε=0.1678
[Train 310000] loss=0.0091
[Ep 233] R=-13.0  Steps=360387  ε=0.1650
[Ep 234] R=-9.0  Steps=364140  ε=0.1619
[Ep 235] R=-8.0  Steps=367851  ε=0.1589
[Train 320000] loss=0.0126
[Ep 236] R=-5.0  Steps=372384  ε=0.1554
[Ep 237] R=-9.0  Steps=376187  ε=0.1524
[Train 330000] loss=0.0030
[Ep 238] R=-8.0  Steps=380260  ε=0.1494
[Ep 239] R=-6.0  Steps=384312  ε=0.1464
*** (avg_R=-5.55) ***
*** New best model saved: LAB5_B11017015_task3_pong_384312.pt ***
[Ep 240] R=-11.0  Steps=387306  ε=0.1442
[Train 340000] loss=0.0012
[Ep 241] R=-7.0  Steps=390690  ε=0.1418
[Ep 242] R=-11.0  Steps=394584  ε=0.1390
