Initializing environment: ALE/Pong-v5
Atari detected. State shape after preprocessing: (4, 84, 84)
Using device: cuda
Building networks for state shape (4, 84, 84) and 6 actions.
Using Standard Replay Buffer (deque)
Models and logs will be saved in: ./results_task2
Step: 253857, Episode: 256, Reward: -20.00, Epsilon: 0.781
Step: 254829, Episode: 257, Reward: -21.00, Epsilon: 0.780
Step: 255929, Episode: 258, Reward: -20.00, Epsilon: 0.779
Step: 256919, Episode: 259, Reward: -20.00, Epsilon: 0.778
Step: 257903, Episode: 260, Reward: -19.00, Epsilon: 0.777
Step: 258903, Episode: 261, Reward: -20.00, Epsilon: 0.776
Step: 259805, Episode: 262, Reward: -21.00, Epsilon: 0.775
Step: 260650, Episode: 263, Reward: -21.00, Epsilon: 0.774
Step: 261554, Episode: 264, Reward: -20.00, Epsilon: 0.774
Step: 262453, Episode: 265, Reward: -20.00, Epsilon: 0.773
Step: 263458, Episode: 266, Reward: -21.00, Epsilon: 0.772
Step: 264524, Episode: 267, Reward: -20.00, Epsilon: 0.771
Step: 265402, Episode: 268, Reward: -20.00, Epsilon: 0.770
Step: 266352, Episode: 269, Reward: -21.00, Epsilon: 0.769
Step: 267377, Episode: 270, Reward: -19.00, Epsilon: 0.768
Step: 268447, Episode: 271, Reward: -20.00, Epsilon: 0.767
Step: 269501, Episode: 272, Reward: -20.00, Epsilon: 0.766
Step: 270524, Episode: 273, Reward: -21.00, Epsilon: 0.766
Step: 271501, Episode: 274, Reward: -21.00, Epsilon: 0.765
Step: 272547, Episode: 275, Reward: -20.00, Epsilon: 0.764
Step: 273772, Episode: 276, Reward: -19.00, Epsilon: 0.763
Step: 274806, Episode: 277, Reward: -21.00, Epsilon: 0.762
Step: 275863, Episode: 278, Reward: -20.00, Epsilon: 0.761
Step: 276787, Episode: 279, Reward: -21.00, Epsilon: 0.760
Step: 277639, Episode: 280, Reward: -21.00, Epsilon: 0.759
Step: 278624, Episode: 281, Reward: -20.00, Epsilon: 0.758
Step: 279590, Episode: 282, Reward: -20.00, Epsilon: 0.757
Step: 280721, Episode: 283, Reward: -20.00, Epsilon: 0.756
Step: 281778, Episode: 284, Reward: -20.00, Epsilon: 0.755
Step: 282661, Episode: 285, Reward: -21.00, Epsilon: 0.755
Step: 283732, Episode: 286, Reward: -19.00, Epsilon: 0.754
Step: 284694, Episode: 287, Reward: -20.00, Epsilon: 0.753
Step: 285654, Episode: 288, Reward: -20.00, Epsilon: 0.752
Step: 286918, Episode: 289, Reward: -19.00, Epsilon: 0.751
Step: 288053, Episode: 290, Reward: -19.00, Epsilon: 0.750
Step: 289042, Episode: 291, Reward: -21.00, Epsilon: 0.749
Step: 290080, Episode: 292, Reward: -19.00, Epsilon: 0.748
Step: 291149, Episode: 293, Reward: -19.00, Epsilon: 0.747
Step: 292445, Episode: 294, Reward: -18.00, Epsilon: 0.746
Step: 293595, Episode: 295, Reward: -19.00, Epsilon: 0.745
Step: 294586, Episode: 296, Reward: -20.00, Epsilon: 0.744
Step: 295516, Episode: 297, Reward: -20.00, Epsilon: 0.743
Step: 296462, Episode: 298, Reward: -21.00, Epsilon: 0.742
Step: 297521, Episode: 299, Reward: -19.00, Epsilon: 0.741
Step: 298513, Episode: 300, Reward: -21.00, Epsilon: 0.740
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 300, Step 298513) ---
Avg Reward over 20 episodes: -18.70 (Duration: 21.56s)
--------------------------------------------------
Step: 299595, Episode: 301, Reward: -21.00, Epsilon: 0.739
Step: 300614, Episode: 302, Reward: -20.00, Epsilon: 0.738
Step: 301618, Episode: 303, Reward: -19.00, Epsilon: 0.738
Step: 302549, Episode: 304, Reward: -20.00, Epsilon: 0.737
Step: 303448, Episode: 305, Reward: -21.00, Epsilon: 0.736
Step: 304639, Episode: 306, Reward: -19.00, Epsilon: 0.735
Step: 305737, Episode: 307, Reward: -21.00, Epsilon: 0.734
Step: 306592, Episode: 308, Reward: -21.00, Epsilon: 0.733
Step: 307674, Episode: 309, Reward: -19.00, Epsilon: 0.732
Step: 308563, Episode: 310, Reward: -20.00, Epsilon: 0.731
Step: 309496, Episode: 311, Reward: -21.00, Epsilon: 0.730
Step: 310799, Episode: 312, Reward: -18.00, Epsilon: 0.729
Step: 311953, Episode: 313, Reward: -20.00, Epsilon: 0.728
Step: 313244, Episode: 314, Reward: -20.00, Epsilon: 0.727
Step: 314222, Episode: 315, Reward: -20.00, Epsilon: 0.726
Step: 315166, Episode: 316, Reward: -21.00, Epsilon: 0.725
Step: 316456, Episode: 317, Reward: -20.00, Epsilon: 0.724
Step: 317396, Episode: 318, Reward: -21.00, Epsilon: 0.723
Step: 318415, Episode: 319, Reward: -21.00, Epsilon: 0.722
Step: 319566, Episode: 320, Reward: -20.00, Epsilon: 0.721
Step: 320428, Episode: 321, Reward: -20.00, Epsilon: 0.721
Step: 321407, Episode: 322, Reward: -21.00, Epsilon: 0.720
Step: 322440, Episode: 323, Reward: -18.00, Epsilon: 0.719
Step: 323407, Episode: 324, Reward: -19.00, Epsilon: 0.718
Step: 324347, Episode: 325, Reward: -21.00, Epsilon: 0.717
Step: 325463, Episode: 326, Reward: -21.00, Epsilon: 0.716
Step: 326542, Episode: 327, Reward: -20.00, Epsilon: 0.715
Step: 327502, Episode: 328, Reward: -20.00, Epsilon: 0.714
Step: 328586, Episode: 329, Reward: -19.00, Epsilon: 0.713
Step: 329549, Episode: 330, Reward: -21.00, Epsilon: 0.712
Step: 330566, Episode: 331, Reward: -21.00, Epsilon: 0.711
Step: 331466, Episode: 332, Reward: -21.00, Epsilon: 0.711
Step: 332396, Episode: 333, Reward: -20.00, Epsilon: 0.710
Step: 333337, Episode: 334, Reward: -21.00, Epsilon: 0.709
Step: 334129, Episode: 335, Reward: -21.00, Epsilon: 0.708
Step: 335208, Episode: 336, Reward: -20.00, Epsilon: 0.707
Step: 336304, Episode: 337, Reward: -21.00, Epsilon: 0.706
Step: 337389, Episode: 338, Reward: -18.00, Epsilon: 0.705
Step: 338520, Episode: 339, Reward: -20.00, Epsilon: 0.704
Step: 339477, Episode: 340, Reward: -19.00, Epsilon: 0.703
Step: 340330, Episode: 341, Reward: -21.00, Epsilon: 0.703
Step: 341470, Episode: 342, Reward: -20.00, Epsilon: 0.702
Step: 342342, Episode: 343, Reward: -20.00, Epsilon: 0.701
Step: 343312, Episode: 344, Reward: -21.00, Epsilon: 0.700
Step: 344345, Episode: 345, Reward: -21.00, Epsilon: 0.699
Step: 345430, Episode: 346, Reward: -19.00, Epsilon: 0.698
Step: 346545, Episode: 347, Reward: -19.00, Epsilon: 0.697
Step: 347484, Episode: 348, Reward: -19.00, Epsilon: 0.696
Step: 348267, Episode: 349, Reward: -21.00, Epsilon: 0.696
Step: 349188, Episode: 350, Reward: -20.00, Epsilon: 0.695
Starting evaluation for 20 episodes...
--- Evaluation Result (Ep 350, Step 349188) ---
Avg Reward over 20 episodes: -19.15 (Duration: 18.28s)
--------------------------------------------------
Step: 350072, Episode: 351, Reward: -21.00, Epsilon: 0.694
Step: 351252, Episode: 352, Reward: -19.00, Epsilon: 0.693
Step: 352091, Episode: 353, Reward: -21.00, Epsilon: 0.692
Step: 353192, Episode: 354, Reward: -19.00, Epsilon: 0.691
Step: 354067, Episode: 355, Reward: -21.00, Epsilon: 0.690
Step: 355446, Episode: 356, Reward: -17.00, Epsilon: 0.689
Step: 356507, Episode: 357, Reward: -21.00, Epsilon: 0.688
Step: 357535, Episode: 358, Reward: -20.00, Epsilon: 0.687
Step: 358676, Episode: 359, Reward: -19.00, Epsilon: 0.686
Step: 359547, Episode: 360, Reward: -21.00, Epsilon: 0.685
Step: 360608, Episode: 361, Reward: -20.00, Epsilon: 0.684
Step: 361462, Episode: 362, Reward: -21.00, Epsilon: 0.684
Step: 362648, Episode: 363, Reward: -19.00, Epsilon: 0.683
Step: 363684, Episode: 364, Reward: -19.00, Epsilon: 0.682
Step: 364895, Episode: 365, Reward: -20.00, Epsilon: 0.681
Step: 366011, Episode: 366, Reward: -19.00, Epsilon: 0.680
Step: 366973, Episode: 367, Reward: -21.00, Epsilon: 0.679
Step: 367874, Episode: 368, Reward: -21.00, Epsilon: 0.678
Step: 368698, Episode: 369, Reward: -21.00, Epsilon: 0.677
Step: 369647, Episode: 370, Reward: -20.00, Epsilon: 0.676
Step: 370728, Episode: 371, Reward: -21.00, Epsilon: 0.675
Step: 371718, Episode: 372, Reward: -21.00, Epsilon: 0.674
Step: 372719, Episode: 373, Reward: -21.00, Epsilon: 0.674
Step: 373580, Episode: 374, Reward: -20.00, Epsilon: 0.673
Step: 374540, Episode: 375, Reward: -20.00, Epsilon: 0.672
Step: 375461, Episode: 376, Reward: -20.00, Epsilon: 0.671
Step: 376253, Episode: 377, Reward: -21.00, Epsilon: 0.670
Step: 377563, Episode: 378, Reward: -19.00, Epsilon: 0.669
Step: 378602, Episode: 379, Reward: -20.00, Epsilon: 0.668
