Ep 842 | Reward: 17.0
Ep 843 | Reward: 16.0
Ep 844 | Reward: 10.0
Ep 845 | Reward: 17.0
Ep 846 | Reward: 26.0
Ep 847 | Reward: 14.0
Ep 848 | Reward: 18.0
Ep 849 | Reward: 27.0
Ep 850 | Reward: 11.0
Ep 851 | Reward: 26.0
Ep 852 | Reward: 16.0
Ep 853 | Reward: 13.0
Ep 854 | Reward: 31.0
Ep 855 | Reward: 34.0
Ep 856 | Reward: 28.0
Ep 857 | Reward: 21.0
Ep 858 | Reward: 15.0
Ep 859 | Reward: 13.0
Ep 860 | Reward: 40.0
Ep 861 | Reward: 21.0
Ep 862 | Reward: 11.0
Ep 863 | Reward: 13.0
Ep 864 | Reward: 45.0
Ep 865 | Reward: 17.0
Ep 866 | Reward: 19.0
Ep 867 | Reward: 26.0
Ep 868 | Reward: 14.0
Ep 869 | Reward: 34.0
Ep 870 | Reward: 21.0
Ep 871 | Reward: 13.0
Ep 872 | Reward: 37.0
Ep 873 | Reward: 20.0
